No,Locus,Gene name,Del,Parent,Mycelial growth,,Pig,Sexual development,,,,Con,Vir,Toxins,,Stress responses,,,,,
,,,,,PDA,MM,,NF,PM,AF,AD,,,ZEA,DON,Os,ROS,Fung,CW,pH4,pH11
FGSG_04220,GzAPSES001,Ya,GZ3639,Singleb,1c,1d,4e,0f,0g,0h,0i,4j,2k,2k,0l,4m,4m,4m,4m,4m,4m
FGSG_05283,GzAPSES002,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09407,GzAT002,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09495,GzAT003,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00545,GzbHLH001,Y,GZ3639,Single,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
FGSG_01139,GzbHLH003,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02516,GzbHLH006,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02814,GzbHLH007,Y,GZ3639,Single,4,4,4,5,4,4,4,4,6,6,4,4,4,4,4,4,4
FGSG_03313,GzbHLH008,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04035,GzbHLH009,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06262,GzbHLH011,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07790,GzbHLH012,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08403,GzbHLH013,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09308,GzbHLH014,Y,GZ3639,Single,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10440,GzbHLH015,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11658,GzbHLH016,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01096,GzBrom001,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09871,GzBrom003,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02750,GzbZIP004,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02939,GzbZIP005,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03040,GzbZIP006,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05930,GzbZIP008,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06421,GzbZIP009,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07789,GzbZIP011,Y,GZ3639,Multiple,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07863,GzbZIP012,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08800,GzbZIP013,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09001,GzbZIP014,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09286,GzbZIP015,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11623,GzbZIP018,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4
FGSG_12345,GzbZIP019,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13313,GzbZIP020,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13759,GzbZIP021,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10546,GzbZIP022,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00240,GzC2H001,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00342,GzC2H002,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00584,GzC2H004,Y,GZ3639,Single,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4
FGSG_00653,GzC2H005,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4
FGSG_00764,GzC2H006,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01214,GzC2H009,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01298,GzC2H010,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01310,GzC2H011,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01319,GzC2H012,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01576,GzC2H015,Y,GZ3639,Single,4,4,4,1,2,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02635,GzC2H017,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02743,GzC2H018,Y,GZ3639,Single,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02788,GzC2H019,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03234,GzC2H021,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03881,TRI15,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04288,GzC2H028,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04293,GzC2H029,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04889,GzC2H031,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04932,GzC2H032,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05041,GzC2H034,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05359,GzC2H035,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05381,GzC2H036,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
FGSG_05399,GzC2H037,Y,GZ3639,Single,4,4,4,4,4,4,4,4,2,6,4,4,4,4,4,4,4
FGSG_05857,GzC2H038,Y,GZ3639,Single,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4
FGSG_06002,GzC2H039,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06168,GzC2H040,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06311,GzC2H041,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06684,GzC2H043,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06701,GzC2H044,Y,GZ3639,Single,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06934,GzC2H046,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07187,GzC2H049,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07392,GzC2H051,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07735,GzC2H053,Y,GZ3639,Multiple,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07737,GzC2H054,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07751,GzC2H055,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07753,GzC2H056,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07914,GzC2H058,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07952,GzC2H060,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08128,GzC2H061,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08138,GzC2H062,Y,GZ3639,Single,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
