No,Mycelial growth,,Pig,Sexual development,,,,Con,Vir,Toxins,,Stress responses,,,,,
,PDA,MM,,NF,PM,AF,AD,,,ZEA,DON,Os,ROS,Fung,CW,pH4,pH11
FGSG_04220,1c,1d,4e,0f,0g,0h,0i,4j,2k,2k,0l,4m,4m,4m,4m,4m,4m
FGSG_05283,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09407,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09495,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00545,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
FGSG_01139,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02516,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02814,4,4,4,5,4,4,4,4,6,6,4,4,4,4,4,4,4
FGSG_03313,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04035,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06262,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07790,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08403,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09308,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10440,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11658,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01096,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09871,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02750,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02939,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03040,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05930,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06421,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07789,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07863,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08800,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09001,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09286,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
